,Unnamed: 0,path,image_nr,likes,visualizations,date,simp_path,day,year,month,month_n,likes_n,visualizations_n,colors,colors_s
0,0,Behance\0_1.8k_6.4k_84_3 de agosto de 2021.jpg,0,1.8k,6.4k,3 de agosto de 2021,0_1.8k_6.4k_84_3 de agosto de 2021.jpg,3,2021,agosto,8,1800,6400,"[[213.44514  181.73178  200.50743 ]
 [150.13974  169.5586   205.56982 ]
 [194.99828  205.80307  233.50182 ]
 [182.3355   198.43602  224.3009  ]
 [128.58365  162.41313  196.9     ]
 [172.87416  174.79369  211.01863 ]
 [211.05405  221.58301  238.95288 ]
 [156.33165  186.64832  208.66118 ]
 [210.44235  193.06044  216.37363 ]
 [104.227715 113.3644   145.73434 ]]","[[0.5890737  0.66480434 0.8062853 ]
 [0.76469916 0.80707085 0.9156934 ]
 [0.82526416 0.75709975 0.84852403]
 [0.50459623 0.6376128  0.7723053 ]
 [0.40873614 0.44456628 0.5715072 ]
 [0.82766294 0.868953   0.93707013]
 [0.67813116 0.6854901  0.8274816 ]
 [0.71504116 0.7781805  0.8796114 ]
 [0.83703977 0.71267366 0.78630364]
 [0.6130653  0.73195416 0.81827915]]"
1,1,Behance\1000_765_8.3k_65_19 de abril de 2021.jpg,1000,765,8.3k,19 de abril de 2021,1000_765_8.3k_65_19 de abril de 2021.jpg,19,2021,abril,4,765,8300,"[[ 59.659153  39.769173  35.604183]
 [115.539536 121.30729  143.76619 ]
 [229.80879  209.74966  184.00507 ]
 [118.65837   90.925674  78.471016]
 [183.47325  211.90828  230.66972 ]
 [ 90.421104  65.19368   55.813618]
 [152.04572  118.52717   96.80206 ]
 [148.68097  165.36044  189.10739 ]
 [ 28.363152  20.71841   18.573807]
 [193.75522  161.7667   132.27611 ]]","[[0.450158   0.47198504 0.55983007]
 [0.23607677 0.15732805 0.14070518]
 [0.71615076 0.82734466 0.90163124]
 [0.470382   0.36001873 0.30922806]
 [0.5770695  0.6418081  0.736078  ]
 [0.7724583  0.6515027  0.5379691 ]
 [0.60589635 0.473922   0.38661084]
 [0.3572661  0.25848538 0.22177655]
 [0.11330768 0.08269739 0.07412407]
 [0.9149556  0.83992076 0.7387819 ]]"
2,2,Behance\1001_919_6k_63_19 de abril de 2021.jpg,1001,919,6k,19 de abril de 2021,1001_919_6k_63_19 de abril de 2021.jpg,19,2021,abril,4,919,6000,"[[240.91878    66.80268    51.22841  ]
 [ 31.391586   54.190056   33.277145 ]
 [184.34538   192.83658   176.81224  ]
 [  2.6450534   2.5344944   2.2616463]
 [106.49325   116.60957    89.535995 ]
 [151.76744   148.3838    121.664444 ]
 [248.2488    244.11702   229.81317  ]
 [238.28342   180.75876   144.84755  ]
 [ 53.58892    91.420876   59.9161   ]
 [143.12556    59.38085    43.096947 ]]","[[0.4243812  0.4627723  0.35667711]
 [0.9735674  0.9573455  0.90125877]
 [0.01039428 0.00994843 0.00887732]
 [0.9346562  0.70894617 0.56810987]
 [0.9444598  0.26195937 0.20087333]
 [0.21046796 0.35871255 0.23517847]
 [0.59957254 0.58557594 0.4809844 ]
 [0.5582455  0.23412743 0.16992852]
 [0.123079   0.21295442 0.13074253]
 [0.7250104  0.7580106  0.6952627 ]]"
3,3,Behance\1002_2.9k_21.9k_135_19 de abril de 2021.jpg,1002,2.9k,21.9k,19 de abril de 2021,1002_2.9k_21.9k_135_19 de abril de 2021.jpg,19,2021,abril,4,2900,21900,"[[197.10681  237.85242   78.1398  ]
 [ 16.734251  41.6264     8.856895]
 [254.48874  254.53206  254.21118 ]
 [129.98613   63.21929  181.52286 ]
 [128.36462  154.47403  121.2979  ]
 [180.72487   95.49798  247.71841 ]
 [239.36433  223.07088  193.15535 ]
 [152.76205  186.66225   58.64549 ]
 [ 54.1809    83.22795   37.206455]
 [194.85318  178.2085   144.84756 ]]","[[0.06562523 0.16324136 0.03473371]
 [0.5995998  0.7325914  0.23021212]
 [0.9979951  0.998165   0.9969066 ]
 [0.708725   0.37450188 0.9714448 ]
 [0.773045   0.9328475  0.3064581 ]
 [0.93866247 0.87476224 0.75743943]
 [0.5030339  0.6057201  0.47523594]
 [0.50974953 0.24791878 0.71185434]
 [0.76334065 0.69830406 0.5681632 ]
 [0.21297094 0.32687017 0.14586444]]"
4,4,Behance\1003_928_9.9k_80_8 de abril de 2021.jpg,1003,928,9.9k,8 de abril de 2021,1003_928_9.9k_80_8 de abril de 2021.jpg,8,2021,abril,4,928,9900,"[[211.45775  207.38548  206.43594 ]
 [ 68.94089   58.064045  61.378006]
 [242.74924  242.69687  242.53204 ]
 [152.21407  138.0996   136.6602  ]
 [ 32.1866    24.211222  28.508776]
 [201.24226   35.397396  36.70641 ]
 [113.23619   96.36297   95.89028 ]
 [193.94449  178.71324  175.62093 ]
 [229.03981  227.91699  227.5199  ]
 [218.47952  124.61495  115.09863 ]]","[[0.9506851  0.95043564 0.9497987 ]
 [0.44098037 0.37432516 0.37290522]
 [0.12561733 0.09440261 0.11128348]
 [0.8556982  0.4827492  0.44572556]
 [0.7903542  0.13583797 0.14129841]
 [0.82424396 0.8063445  0.80219793]
 [0.26870108 0.22633708 0.23927489]
 [0.7549181  0.6918536  0.67899287]
 [0.8933675  0.8884052  0.886729  ]
 [0.59095216 0.5352688  0.530064  ]]"
5,5,Behance\1004_982_8.9k_60_19 de abril de 2021.jpg,1004,982,8.9k,19 de abril de 2021,1004_982_8.9k_60_19 de abril de 2021.jpg,19,2021,abril,4,982,8900,"[[ 60.79376   53.586254  50.371944]
 [208.91942  166.20946  135.28189 ]
 [  7.983797   7.989402   8.359183]
 [122.00554  121.11254  120.592865]
 [ 18.663366  18.579138  19.1623  ]
 [ 87.11755   86.18108   86.149956]
 [170.55873  124.0448    91.71281 ]
 [ 32.714733  32.372128  34.669674]
 [156.35532  155.44543  154.85994 ]
 [113.31597   75.37232   53.001778]]","[[0.03134102 0.03137255 0.03286759]
 [0.564768   0.39032203 0.28026205]
 [0.6024389  0.599627   0.59794605]
 [0.16835745 0.16119409 0.16567594]
 [0.39440686 0.2601179  0.18040857]
 [0.07623807 0.07584737 0.07861923]
 [0.7234411  0.5440023  0.41485858]
 [0.30393618 0.30042398 0.30142304]
 [0.84349275 0.6898565  0.58003   ]
 [0.45626318 0.4528101  0.45086515]]"
6,6,Behance\1005_2.1k_12.7k_87_19 de abril de 2021.jpg,1005,2.1k,12.7k,19 de abril de 2021,1005_2.1k_12.7k_87_19 de abril de 2021.jpg,19,2021,abril,4,2100,12700,"[[251.80244   215.15292    40.772873 ]
 [141.44473    66.08991    54.854866 ]
 [250.06363    78.43528    16.65718  ]
 [ 82.18778    68.49918   229.07657  ]
 [252.54756   251.77669   252.53111  ]
 [  3.62192     1.9811225   2.6487544]
 [250.81372   155.41125   204.2639   ]
 [185.91168   127.39942   129.87538  ]
 [ 80.50602   117.168175   29.778515 ]
 [ 56.552532   45.33147   185.29475  ]]","[[0.98745745 0.84373474 0.15989642]
 [0.3213721  0.2677723  0.8977835 ]
 [0.55472106 0.2591772  0.21497044]
 [0.9903826  0.9873595  0.99031806]
 [0.98064375 0.3076172  0.06537223]
 [0.01414788 0.00772148 0.01020017]
 [0.98340493 0.60939914 0.8010627 ]
 [0.3157099  0.45948303 0.11677849]
 [0.22104394 0.17704591 0.7200438 ]
 [0.7273971  0.49872494 0.5102123 ]]"
7,7,Behance\1006_1.6k_13.6k_67_18 de abril de 2021.jpg,1006,1.6k,13.6k,18 de abril de 2021,1006_1.6k_13.6k_67_18 de abril de 2021.jpg,18,2021,abril,4,1600,13600,"[[162.0149    86.00817   51.192467]
 [ 51.69845   47.343033  39.065357]
 [ 25.528566  36.073868  35.769936]
 [ 89.11169   65.36666   50.33901 ]
 [236.6791   131.11368   77.97303 ]
 [ 66.494446  56.112793  44.330723]
 [ 25.97308   27.011408  25.790241]
 [203.37646  102.445076  53.502117]
 [ 38.94658   37.616554  33.47746 ]
 [123.34336   74.17945   51.36574 ]]","[[0.25646412 0.21759158 0.17203988]
 [0.7820405  0.39413172 0.2071473 ]
 [0.09908308 0.14184524 0.14086904]
 [0.46822214 0.2875169  0.20273784]
 [0.14924985 0.14464003 0.12926377]
 [0.61948586 0.33145577 0.1997127 ]
 [0.9182569  0.5017761  0.2927342 ]
 [0.1009981  0.1054358  0.10089982]
 [0.3397513  0.2532298  0.19584857]
 [0.19753644 0.18238027 0.15178128]]"
8,8,Behance\1007_2.6k_16.8k_77_18 de abril de 2021.jpg,1007,2.6k,16.8k,18 de abril de 2021,1007_2.6k_16.8k_77_18 de abril de 2021.jpg,18,2021,abril,4,2600,16800,"[[254.79802   254.79868   254.79709  ]
 [ 70.526985   39.872128   35.06771  ]
 [248.40726   156.072      37.47792  ]
 [253.42047   147.20079   173.66612  ]
 [  4.133099    2.9984496   3.1454864]
 [ 85.78931    75.10454   250.06744  ]
 [244.23257    40.400482   61.240356 ]
 [153.2352    147.892     149.7224   ]
 [107.26653    91.83127    85.3051   ]
 [228.36845   203.84962   209.4945   ]]","[[0.9992238  0.9992335  0.99922585]
 [0.42900833 0.37231708 0.35235277]
 [0.99406374 0.5773369  0.68114555]
 [0.01677191 0.01214427 0.01270008]
 [0.9739158  0.61186963 0.14691377]
 [0.9577991  0.15852547 0.24013233]
 [0.33642864 0.2945276  0.9806566 ]
 [0.28379357 0.16364282 0.1423837 ]
 [0.6160066  0.5927684  0.60041416]
 [0.9003983  0.8028224  0.8252366 ]]"
9,9,Behance\1008_3.9k_22.2k_187_19 de abril de 2021.jpg,1008,3.9k,22.2k,19 de abril de 2021,1008_3.9k_22.2k_187_19 de abril de 2021.jpg,19,2021,abril,4,3900,22200,"[[254.6086    110.16946    12.206112 ]
 [ 80.3227     94.42485   166.33769  ]
 [190.4044    219.9566    241.47043  ]
 [  8.833325   36.109104  168.647    ]
 [ 65.8144      9.98287    20.261877 ]
 [192.20483   119.850525   90.78714  ]
 [215.63304    60.279633    6.895904 ]
 [  3.1739545  58.019463  191.86713  ]
 [241.00662   237.7181    231.00775  ]
 [154.07753   160.293     191.03667  ]]","[[0.9984687  0.43205217 0.04787032]
 [0.01241928 0.22766595 0.752499  ]
 [0.7466601  0.862541   0.9469144 ]
 [0.25838077 0.0391596  0.07935143]
 [0.6034477  0.62801063 0.7491896 ]
 [0.31357414 0.368579   0.6515856 ]
 [0.7537444  0.47000206 0.356028  ]
 [0.8472633  0.23715904 0.02692422]
 [0.94504434 0.93219984 0.9057978 ]
 [0.0338456  0.14175707 0.6624155 ]]"
